CP2_2,,DMSO_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
688.039917,-0.09611742944,688.039917,-0.1067644507,
687.0280762,-0.09363435954,687.0280762,-0.09807617217,
686.0159302,-0.09607680142,686.0159302,-0.1052908897,
685.003479,-0.09216758609,685.003479,-0.09765699506,
683.9906616,-0.0824842304,683.9906616,-0.09047406912,
682.9775391,-0.09328392893,682.9775391,-0.1027547419,
681.9641113,-0.09219069779,681.9641113,-0.09882111847,
680.9503174,-0.08846325427,680.9503174,-0.1007683873,
679.9362183,-0.08863818645,679.9362183,-0.09719822556,
679.0667725,-0.08771757782,679.0667725,-0.0988773182,
678.052063,-0.08576788008,678.052063,-0.09528747946,
677.0370483,-0.09787248075,677.0370483,-0.1018521786,
676.0217285,-0.09654916078,676.0217285,-0.1043181568,
675.0061035,-0.08561517298,675.0061035,-0.09868802875,
673.9901123,-0.08574769646,673.9901123,-0.09501180798,
672.973877,-0.0868447423,672.973877,-0.09763268381,
671.9572754,-0.09158655256,671.9572754,-0.1001281738,
670.9403076,-0.08487254381,670.9403076,-0.09947112203,
670.0684204,-0.08930048347,670.0684204,-0.09916990995,
669.0509644,-0.08798134327,669.0509644,-0.1021775603,
668.0331421,-0.08343268931,668.0331421,-0.09785462916,
667.0149536,-0.08552899957,667.0149536,-0.09637821466,
665.996521,-0.08691870421,665.996521,-0.09539426118,
664.9777832,-0.09237802774,664.9777832,-0.1017015874,
663.9586792,-0.08463777602,663.9586792,-0.09772740304,
662.93927,-0.08762648702,662.93927,-0.09608472884,
662.0652466,-0.08589993417,662.0652466,-0.09974484146,
661.0452881,-0.08344354481,661.0452881,-0.09355836362,
660.0250244,-0.08901730925,660.0250244,-0.09800090641,
659.0043945,-0.08573205769,659.0043945,-0.09352058917,
657.9835205,-0.08737724274,657.9835205,-0.1032814831,
656.9622803,-0.09066326916,656.9622803,-0.1004524678,
655.9407349,-0.08370560408,655.9407349,-0.09552242607,
655.0648804,-0.08800679445,655.0648804,-0.09247624129,
654.0427856,-0.08570659906,654.0427856,-0.1010481045,
653.0203857,-0.08933403343,653.0203857,-0.09798285365,
651.9976807,-0.09698373079,651.9976807,-0.1061461568,
650.9746094,-0.08599308133,650.9746094,-0.100025259,
